Period,Label1,Value
2020-04-24,Total,385
2020-04-25,New Zealand passport,66
2020-04-25,Other passports,209
2020-04-25,Total,275
2020-04-26,New Zealand passport,37
2020-04-26,Other passports,598
2020-04-26,Total,635
2020-04-27,New Zealand passport,51
2020-04-27,Other passports,469
2020-04-27,Total,520
2020-04-28,New Zealand passport,34
2020-04-28,Other passports,442
2020-04-28,Total,476
2020-04-29,New Zealand passport,46
2020-04-29,Other passports,216
2020-04-29,Total,262
2020-04-30,New Zealand passport,83
2020-04-30,Other passports,543
2020-04-30,Total,626
2020-05-01,New Zealand passport,58
2020-05-01,Other passports,250
2020-05-01,Total,308
2020-05-02,New Zealand passport,105
2020-05-02,Other passports,518
2020-05-02,Total,623
2020-05-03,New Zealand passport,55
2020-05-03,Other passports,304
2020-05-03,Total,359
2020-05-04,New Zealand passport,20
2020-05-04,Other passports,23
2020-05-04,Total,43
2020-05-05,New Zealand passport,67
2020-05-05,Other passports,215
2020-05-05,Total,282
2020-05-06,New Zealand passport,24
2020-05-06,Other passports,198
2020-05-06,Total,222
2020-05-07,New Zealand passport,88
2020-05-07,Other passports,371
2020-05-07,Total,459
2020-05-08,New Zealand passport,74
2020-05-08,Other passports,37
2020-05-08,Total,111
2020-05-09,New Zealand passport,246
2020-05-09,Other passports,319
2020-05-09,Total,565
2020-05-10,New Zealand passport,53
2020-05-10,Other passports,251
2020-05-10,Total,304
2020-05-11,New Zealand passport,8
2020-05-11,Other passports,194
2020-05-11,Total,202
2020-05-12,New Zealand passport,93
2020-05-12,Other passports,169
2020-05-12,Total,262
2020-05-13,New Zealand passport,13
2020-05-13,Other passports,501
2020-05-13,Total,514
2020-05-14,New Zealand passport,76
2020-05-14,Other passports,164
2020-05-14,Total,240
2020-05-15,New Zealand passport,87
2020-05-15,Other passports,291
2020-05-15,Total,378
2020-05-16,New Zealand passport,217
2020-05-16,Other passports,181
2020-05-16,Total,398
2020-05-17,New Zealand passport,42
2020-05-17,Other passports,284
2020-05-17,Total,326
2020-05-18,New Zealand passport,0
2020-05-18,Other passports,0
2020-05-18,Total,0
2020-05-19,New Zealand passport,113
2020-05-19,Other passports,160
2020-05-19,Total,273
2020-05-20,New Zealand passport,54
2020-05-20,Other passports,262
2020-05-20,Total,316
2020-05-21,New Zealand passport,93
2020-05-21,Other passports,214
2020-05-21,Total,307
2020-05-22,New Zealand passport,65
2020-05-22,Other passports,35
2020-05-22,Total,100
2020-05-23,New Zealand passport,179
2020-05-23,Other passports,287
2020-05-23,Total,466
2020-05-24,New Zealand passport,32
2020-05-24,Other passports,281
2020-05-24,Total,313
2020-05-25,New Zealand passport,1
2020-05-25,Other passports,0
2020-05-25,Total,1
2020-05-26,New Zealand passport,177
2020-05-26,Other passports,338
2020-05-26,Total,515
2020-05-27,New Zealand passport,22
2020-05-27,Other passports,424
2020-05-27,Total,446
2020-05-28,New Zealand passport,144
2020-05-28,Other passports,309
2020-05-28,Total,453
2020-05-29,New Zealand passport,139
2020-05-29,Other passports,168
2020-05-29,Total,307
2020-05-30,New Zealand passport,185
2020-05-30,Other passports,398
2020-05-30,Total,583
2020-05-31,New Zealand passport,32
2020-05-31,Other passports,523
2020-05-31,Total,555
2020-06-01,New Zealand passport,0
2020-06-01,Other passports,94
2020-06-01,Total,94
2020-06-02,New Zealand passport,171
2020-06-02,Other passports,276
2020-06-02,Total,447
2020-06-03,New Zealand passport,42
2020-06-03,Other passports,326
2020-06-03,Total,368
2020-06-04,New Zealand passport,120
2020-06-04,Other passports,305
2020-06-04,Total,425
2020-06-05,New Zealand passport,80
2020-06-05,Other passports,28
2020-06-05,Total,108
2020-06-06,New Zealand passport,239
2020-06-06,Other passports,331
2020-06-06,Total,570
2020-06-07,New Zealand passport,38
2020-06-07,Other passports,704
2020-06-07,Total,742
2020-06-08,New Zealand passport,14
2020-06-08,Other passports,249
2020-06-08,Total,263
2020-06-09,New Zealand passport,137
2020-06-09,Other passports,407
2020-06-09,Total,544
2020-06-10,New Zealand passport,148
2020-06-10,Other passports,235
2020-06-10,Total,383
2020-06-11,New Zealand passport,93
2020-06-11,Other passports,269
2020-06-11,Total,362
2020-06-12,New Zealand passport,181
2020-06-12,Other passports,305
2020-06-12,Total,486
2020-06-13,New Zealand passport,124
2020-06-13,Other passports,297
2020-06-13,Total,421
2020-06-14,New Zealand passport,36
2020-06-14,Other passports,345
2020-06-14,Total,381
2020-06-15,New Zealand passport,0
2020-06-15,Other passports,0
2020-06-15,Total,0
2020-06-16,New Zealand passport,171
2020-06-16,Other passports,276
2020-06-16,Total,447
2020-06-17,New Zealand passport,88
2020-06-17,Other passports,678
2020-06-17,Total,766
2020-06-18,New Zealand passport,168
2020-06-18,Other passports,458
2020-06-18,Total,626
2020-06-19,New Zealand passport,70
2020-06-19,Other passports,455
2020-06-19,Total,525
2020-06-20,New Zealand passport,310
2020-06-20,Other passports,1022
2020-06-20,Total,1332
2020-06-21,New Zealand passport,26
2020-06-21,Other passports,458
2020-06-21,Total,484
2020-06-22,New Zealand passport,7
2020-06-22,Other passports,464
2020-06-22,Total,471
2020-06-23,New Zealand passport,135
2020-06-23,Other passports,432
2020-06-23,Total,567
2020-06-24,New Zealand passport,68
2020-06-24,Other passports,566
2020-06-24,Total,634
2020-06-25,New Zealand passport,155
2020-06-25,Other passports,384
2020-06-25,Total,539
2020-06-26,New Zealand passport,119
2020-06-26,Other passports,264
2020-06-26,Total,383
2020-06-27,New Zealand passport,313
2020-06-27,Other passports,893
2020-06-27,Total,1206
2020-06-28,New Zealand passport,50
2020-06-28,Other passports,469
2020-06-28,Total,519
2020-06-29,New Zealand passport,11
2020-06-29,Other passports,228
2020-06-29,Total,239
2020-06-30,New Zealand passport,178
2020-06-30,Other passports,487
2020-06-30,Total,665
2020-07-01,New Zealand passport,92
2020-07-01,Other passports,416
2020-07-01,Total,508
2020-07-02,New Zealand passport,212
2020-07-02,Other passports,653
2020-07-02,Total,865
2020-07-03,New Zealand passport,118
2020-07-03,Other passports,236
2020-07-03,Total,354
2020-07-04,New Zealand passport,229
2020-07-04,Other passports,737
2020-07-04,Total,966
2020-07-05,New Zealand passport,83
2020-07-05,Other passports,419
2020-07-05,Total,502
2020-07-06,New Zealand passport,82
2020-07-06,Other passports,328
2020-07-06,Total,410
2020-07-07,New Zealand passport,175
2020-07-07,Other passports,465
2020-07-07,Total,640
2020-07-08,New Zealand passport,62
2020-07-08,Other passports,462
2020-07-08,Total,524
2020-07-09,New Zealand passport,220
2020-07-09,Other passports,827
2020-07-09,Total,1047
2020-07-10,New Zealand passport,152
2020-07-10,Other passports,490
2020-07-10,Total,642
2020-07-11,New Zealand passport,226
2020-07-11,Other passports,701
2020-07-11,Total,927
2020-07-12,New Zealand passport,55
2020-07-12,Other passports,260
2020-07-12,Total,315
2020-07-13,New Zealand passport,55
2020-07-13,Other passports,305
2020-07-13,Total,360
2020-07-14,New Zealand passport,119
2020-07-14,Other passports,357
2020-07-14,Total,476
2020-07-15,New Zealand passport,64
2020-07-15,Other passports,406
2020-07-15,Total,470
2020-07-16,New Zealand passport,130
2020-07-16,Other passports,660
2020-07-16,Total,790
2020-07-17,New Zealand passport,56
2020-07-17,Other passports,500
2020-07-17,Total,556
2020-07-18,New Zealand passport,258
2020-07-18,Other passports,679
2020-07-18,Total,937
2020-07-19,New Zealand passport,137
2020-07-19,Other passports,644
2020-07-19,Total,781
2020-07-20,New Zealand passport,58
2020-07-20,Other passports,254
2020-07-20,Total,312
2020-07-21,New Zealand passport,136
2020-07-21,Other passports,519
2020-07-21,Total,655
2020-07-22,New Zealand passport,43
2020-07-22,Other passports,327
2020-07-22,Total,370
2020-07-23,New Zealand passport,162
2020-07-23,Other passports,694
2020-07-23,Total,856
2020-07-24,New Zealand passport,166
2020-07-24,Other passports,750
2020-07-24,Total,916
2020-07-25,New Zealand passport,206
2020-07-25,Other passports,515
2020-07-25,Total,721
2020-07-26,New Zealand passport,99
2020-07-26,Other passports,414
2020-07-26,Total,513
2020-07-27,New Zealand passport,53
2020-07-27,Other passports,224
2020-07-27,Total,277
2020-07-28,New Zealand passport,112
2020-07-28,Other passports,381
2020-07-28,Total,493
2020-07-29,New Zealand passport,67
2020-07-29,Other passports,234
2020-07-29,Total,301
2020-07-30,New Zealand passport,175
2020-07-30,Other passports,539
2020-07-30,Total,714
2020-07-31,New Zealand passport,80
2020-07-31,Other passports,112
2020-07-31,Total,192
2020-08-01,New Zealand passport,238
2020-08-01,Other passports,439
2020-08-01,Total,677
2020-08-02,New Zealand passport,61
2020-08-02,Other passports,237
2020-08-02,Total,298
2020-08-03,New Zealand passport,48
2020-08-03,Other passports,219
2020-08-03,Total,267
2020-08-04,New Zealand passport,129
2020-08-04,Other passports,505
2020-08-04,Total,634
2020-08-05,New Zealand passport,96
2020-08-05,Other passports,312
2020-08-05,Total,408
2020-08-06,New Zealand passport,193
2020-08-06,Other passports,474
2020-08-06,Total,667
2020-08-07,New Zealand passport,113
2020-08-07,Other passports,638
2020-08-07,Total,751
2020-08-08,New Zealand passport,216
2020-08-08,Other passports,360
2020-08-08,Total,576
2020-08-09,New Zealand passport,117
2020-08-09,Other passports,325
2020-08-09,Total,442
2020-08-10,New Zealand passport,55
2020-08-10,Other passports,218
2020-08-10,Total,273
2020-08-11,New Zealand passport,146
2020-08-11,Other passports,396
2020-08-11,Total,542
2020-08-12,New Zealand passport,84
2020-08-12,Other passports,205
2020-08-12,Total,289
2020-08-13,New Zealand passport,195
2020-08-13,Other passports,548
2020-08-13,Total,743
2020-08-14,New Zealand passport,102
2020-08-14,Other passports,163
2020-08-14,Total,265
2020-08-15,New Zealand passport,189
2020-08-15,Other passports,344
2020-08-15,Total,533
2020-08-16,New Zealand passport,75
2020-08-16,Other passports,215
2020-08-16,Total,290
2020-08-17,New Zealand passport,39
2020-08-17,Other passports,229
2020-08-17,Total,268
2020-08-18,New Zealand passport,156
2020-08-18,Other passports,537
2020-08-18,Total,693
2020-08-19,New Zealand passport,104
2020-08-19,Other passports,218
2020-08-19,Total,322
2020-08-20,New Zealand passport,146
2020-08-20,Other passports,355
2020-08-20,Total,501
2020-08-21,New Zealand passport,67
2020-08-21,Other passports,190
2020-08-21,Total,257
2020-08-22,New Zealand passport,160
2020-08-22,Other passports,306
2020-08-22,Total,466
2020-08-23,New Zealand passport,67
2020-08-23,Other passports,185
2020-08-23,Total,252
2020-08-24,New Zealand passport,37
2020-08-24,Other passports,199
2020-08-24,Total,236
2020-08-25,New Zealand passport,171
2020-08-25,Other passports,583
2020-08-25,Total,754
2020-08-26,New Zealand passport,81
2020-08-26,Other passports,216
2020-08-26,Total,297
2020-08-27,New Zealand passport,197
2020-08-27,Other passports,563
2020-08-27,Total,760
2020-08-28,New Zealand passport,79
2020-08-28,Other passports,419
2020-08-28,Total,498
2020-08-29,New Zealand passport,141
2020-08-29,Other passports,683
2020-08-29,Total,824
2020-08-30,New Zealand passport,74
2020-08-30,Other passports,233
2020-08-30,Total,307
2020-08-31,New Zealand passport,69
2020-08-31,Other passports,284
2020-08-31,Total,353
2020-09-01,New Zealand passport,178
2020-09-01,Other passports,612
2020-09-01,Total,790
2020-09-02,New Zealand passport,78
2020-09-02,Other passports,293
2020-09-02,Total,371
2020-09-03,New Zealand passport,181
2020-09-03,Other passports,473
2020-09-03,Total,654
2020-09-04,New Zealand passport,46
2020-09-04,Other passports,242
2020-09-04,Total,288
2020-09-05,New Zealand passport,233
2020-09-05,Other passports,388
2020-09-05,Total,621
2020-09-06,New Zealand passport,68
2020-09-06,Other passports,314
2020-09-06,Total,382
2020-09-07,New Zealand passport,44
2020-09-07,Other passports,240
2020-09-07,Total,284
2020-09-08,New Zealand passport,143
2020-09-08,Other passports,736
2020-09-08,Total,879
2020-09-09,New Zealand passport,142
2020-09-09,Other passports,471
2020-09-09,Total,613
2020-09-10,New Zealand passport,168
2020-09-10,Other passports,464
2020-09-10,Total,632
2020-09-11,New Zealand passport,43
2020-09-11,Other passports,453
2020-09-11,Total,496
2020-09-12,New Zealand passport,162
2020-09-12,Other passports,462
2020-09-12,Total,624
2020-09-13,New Zealand passport,66
2020-09-13,Other passports,443
2020-09-13,Total,509
2020-09-14,New Zealand passport,68
2020-09-14,Other passports,269
2020-09-14,Total,337
2020-09-15,New Zealand passport,149
2020-09-15,Other passports,574
2020-09-15,Total,723
2020-09-16,New Zealand passport,94
2020-09-16,Other passports,372
2020-09-16,Total,466
2020-09-17,New Zealand passport,150
2020-09-17,Other passports,449
2020-09-17,Total,599
2020-09-18,New Zealand passport,91
2020-09-18,Other passports,604
2020-09-18,Total,695
2020-09-19,New Zealand passport,162
2020-09-19,Other passports,481
2020-09-19,Total,643
2020-09-20,New Zealand passport,72
2020-09-20,Other passports,337
2020-09-20,Total,409
2020-09-21,New Zealand passport,38
2020-09-21,Other passports,288
2020-09-21,Total,326
2020-09-22,New Zealand passport,151
2020-09-22,Other passports,411
2020-09-22,Total,562
2020-09-23,New Zealand passport,110
2020-09-23,Other passports,700
2020-09-23,Total,810
2020-09-24,New Zealand passport,150
2020-09-24,Other passports,547
2020-09-24,Total,697
2020-09-25,New Zealand passport,54
2020-09-25,Other passports,210
2020-09-25,Total,264
2020-09-26,New Zealand passport,135
2020-09-26,Other passports,299
2020-09-26,Total,434
2020-09-27,New Zealand passport,67
2020-09-27,Other passports,208
2020-09-27,Total,275
2020-09-28,New Zealand passport,24
2020-09-28,Other passports,67
2020-09-28,Total,91
2020-09-29,New Zealand passport,187
2020-09-29,Other passports,599
2020-09-29,Total,786
2020-09-30,New Zealand passport,105
2020-09-30,Other passports,458
2020-09-30,Total,563
2020-10-01,New Zealand passport,173
2020-10-01,Other passports,291
2020-10-01,Total,464
2020-10-02,New Zealand passport,68
2020-10-02,Other passports,186
2020-10-02,Total,254
2020-10-03,New Zealand passport,119
2020-10-03,Other passports,198
2020-10-03,Total,317
2020-10-04,New Zealand passport,97
2020-10-04,Other passports,340
2020-10-04,Total,437
2020-10-05,New Zealand passport,13
2020-10-05,Other passports,140
2020-10-05,Total,153
2020-10-06,New Zealand passport,186
2020-10-06,Other passports,374
2020-10-06,Total,560
2020-10-07,New Zealand passport,97
2020-10-07,Other passports,440
2020-10-07,Total,537
2020-10-08,New Zealand passport,129
2020-10-08,Other passports,395
2020-10-08,Total,524
2020-10-09,New Zealand passport,42
2020-10-09,Other passports,207
2020-10-09,Total,249
2020-10-10,New Zealand passport,101
2020-10-10,Other passports,217
2020-10-10,Total,318
2020-10-11,New Zealand passport,94
2020-10-11,Other passports,222
2020-10-11,Total,316
2020-10-12,New Zealand passport,12
2020-10-12,Other passports,4
2020-10-12,Total,16
2020-10-13,New Zealand passport,181
2020-10-13,Other passports,365
2020-10-13,Total,546
2020-10-14,New Zealand passport,78
2020-10-14,Other passports,240
2020-10-14,Total,318
2020-10-15,New Zealand passport,145
2020-10-15,Other passports,243
2020-10-15,Total,388
2020-10-16,New Zealand passport,247
2020-10-16,Other passports,223
2020-10-16,Total,470
2020-10-17,New Zealand passport,120
2020-10-17,Other passports,225
2020-10-17,Total,345
